Mileage,Power,Transmission,Fuel,Drive_type,Doors,Seats,CO2_emissions,Engine_capacity,Emission_class,Year,Make,Body,Interior_material,price,Link
20,295.0,0,2,1,1,5,42.0,1984.0,1,2024,Audi,SUV / offroad,Other interior material,70999,/car/69839429/audi-q5-50-tfsie-quattro-s-line-sportback-220-kw
20,295.0,0,2,1,1,5,42.0,1984.0,1,2024,Audi,SUV / offroad,Other interior material,70999,/car/69839429/audi-q5-50-tfsie-quattro-s-line-sportback-220-kw
5,99.0,1,1,0,1,5,104.0,998.0,3,2024,Hyundai,Hatchback,Cloth interior,21999,/car/69839381/hyundai-i20-1-0-t-gdi-74-kw
2,158.0,0,1,0,1,5,148.0,1598.0,1,2024,Kia,SUV / offroad,Cloth interior,31749,/car/69839276/kia-sportage-1-6-t-gdi-vision-118-kw
10,621.0,0,1,1,1,4,263.0,3996.0,1,2024,Audi,Sedans / saloons,Full leather interior,137899,/car/69839248/audi-rs7-4-0-tfsi-quattro-sportback-performance-463-kw
35000,123.0,1,1,0,1,5,99.0,999.0,2,2022,Ford,SUV / offroad,Other interior material,24099,/car/69839194/ford-puma-1-0-ecoboost-st-line-x-92-kw
80700,306.0,0,1,1,1,5,160.0,1984.0,1,2018,Volkswagen,Hatchback,Cloth interior,28349,/car/69839110/volkswagen-golf-r-dsg-4motion-228-kw
15,212.0,0,2,0,1,5,109.0,1598.0,1,2024,Hyundai,SUV / offroad,Cloth interior,39449,/car/69839105/hyundai-tucson-1-6-t-gdi-n-158-kw
15,212.0,0,2,0,1,5,109.0,1598.0,1,2024,Hyundai,SUV / offroad,Cloth interior,39449,/car/69839105/hyundai-tucson-1-6-t-gdi-n-158-kw
20,296.0,0,1,1,1,5,175.0,1984.0,1,2024,Cupra,SUV / offroad,Velour interior,46699,/car/69839070/cupra-ateca-2-0-tsi-dsg-221-kw
20,296.0,0,1,1,1,5,175.0,1984.0,1,2024,Cupra,SUV / offroad,Velour interior,46699,/car/69839070/cupra-ateca-2-0-tsi-dsg-221-kw
4001,188.0,0,0,0,1,5,131.0,1995.0,1,2024,BMW,Sedans / saloons,Other interior material,56349,/car/69838912/bmw-420d-gran-coupe-140-kw
72650,114.0,1,1,0,1,5,152.0,1590.0,2,2019,Mitsubishi,SUV / offroad,Cloth interior,14949,/car/69838851/mitsubishi-asx-1-6-85-kw
23005,148.0,0,1,0,1,5,123.0,1498.0,3,2024,Volkswagen,SUV / offroad,Part leather interior,32049,/car/69838837/volkswagen-t-roc-1-5-tsi-dsg-110-kw
2,158.0,0,1,0,1,5,148.0,1598.0,1,2024,Kia,SUV / offroad,Cloth interior,31749,/car/69838778/kia-sportage-1-6-t-gdi-vision-118-kw
64621,123.0,1,1,0,1,5,99.0,999.0,2,2022,Ford,SUV / offroad,Other interior material,22049,/car/69838617/ford-puma-1-0-ecoboost-st-line-x-92-kw
2,158.0,0,1,0,1,5,148.0,1598.0,1,2024,Kia,SUV / offroad,Cloth interior,31749,/car/69838586/kia-sportage-1-6-t-gdi-vision-118-kw
10,148.0,0,1,0,1,5,123.0,1498.0,1,2024,Volkswagen,SUV / offroad,Cloth interior,32499,/car/69838444/volkswagen-t-roc-1-5-tsi-dsg-110-kw
20,90.0,1,1,0,1,5,122.0,999.0,1,2023,Renault,SUV / offroad,Cloth interior,21699,/car/69838421/renault-captur-tce-90-equilibre-67-kw
129000,103.0,1,0,0,1,5,165.0,1995.0,1,2019,Ford,Cargo VAN,Cloth interior,15299,/car/69838392/ford-transit-custom-l1h1-2-0-tdci-77-kw
100,158.0,1,1,0,1,5,108.0,1482.0,2,2024,Hyundai,Sedans / saloons,Cloth interior,23849,/car/69838360/hyundai-i30-118-kw
10,148.0,0,0,0,1,5,126.0,1968.0,1,2024,Volkswagen,MPV,Velour interior,35549,/car/69838281/volkswagen-golf-plus-dsg-110-kw
0,190.0,0,0,1,1,5,143.0,1968.0,1,2024,Volkswagen,SUV / offroad,Cloth interior,57149,/car/69838225/volkswagen-tiguan-2-0-tdi-r-line-4motion-dsg-142-kw
10,148.0,0,0,0,1,5,100.0,1968.0,1,2024,Škoda,Station Wagon,Cloth interior,35449,/car/69838185/skoda-octavia-combi-110-kw
10,148.0,0,0,0,1,5,100.0,1968.0,1,2024,Škoda,Station Wagon,Cloth interior,35449,/car/69838185/skoda-octavia-combi-110-kw
52370,221.0,0,2,0,1,5,26.0,2488.0,2,2021,Ford,SUV / offroad,Other interior material,25249,/car/69838096/ford-kuga-2-5-st-line-cvt-165-kw
16556,148.0,0,1,0,1,7,148.0,1498.0,3,2024,Volkswagen,MPV,Cloth interior,38399,/car/69837883/volkswagen-touran-dsg-110-kw
13302,99.0,1,1,0,1,5,98.0,1199.0,3,2023,Opel,Hatchback,Cloth interior,21499,/car/69837820/opel-corsa-74-kw
22291,188.0,0,2,0,1,5,118.0,2488.0,2,2022,Ford,SUV / offroad,Other interior material,27349,/car/69837644/ford-kuga-140-kw
48487,129.0,0,0,0,1,5,100.0,1499.0,2,2020,Peugeot,SUV / offroad,Other interior material,22149,/car/69837611/peugeot-2008-1-5-bluehdi-130-eat8-96-kw
17466,68.0,1,1,0,0,4,88.0,999.0,2,2023,Fiat,Hatchback,Other interior material,15649,/car/69837547/fiat-500-1-0-51-kw
68431,68.0,1,1,0,0,5,88.0,999.0,1,2020,Fiat,Cargo VAN,Other interior material,13699,/car/69837463/fiat-500c-51-kw
2,158.0,0,1,0,1,5,148.0,1598.0,1,2024,Kia,SUV / offroad,Cloth interior,31749,/car/69837451/kia-sportage-1-6-t-gdi-vision-118-kw
18775,68.0,1,2,0,1,4,90.0,999.0,1,2021,Lancia,Hatchback,Other interior material,13399,/car/69837199/lancia-ypsilon-51-kw
2,158.0,0,1,0,1,5,148.0,1598.0,1,2024,Kia,SUV / offroad,Cloth interior,31749,/car/69837087/kia-sportage-1-6-t-gdi-vision-118-kw
10,114.0,0,1,0,1,5,111.0,999.0,1,2024,Volkswagen,SUV / offroad,Cloth interior,26849,/car/69837055/volkswagen-taigo-1-0-tsi-dsg-85-kw
10,114.0,0,1,0,1,5,111.0,999.0,1,2024,Volkswagen,SUV / offroad,Cloth interior,26849,/car/69837055/volkswagen-taigo-1-0-tsi-dsg-85-kw
10,621.0,0,1,1,1,4,263.0,3996.0,1,2024,Audi,Sedans / saloons,Full leather interior,137899,/car/69837029/audi-rs7-4-0-tfsi-quattro-sportback-performance-463-kw
44598,188.0,0,1,1,1,5,166.0,1984.0,1,2020,Audi,SUV / offroad,Other interior material,39699,/car/69836992/audi-q3-40-tfsi-quattro-s-tronic-s-line-140-kw
10,188.0,0,1,1,1,5,175.0,1984.0,1,2024,Cupra,SUV / offroad,Cloth interior,40049,/car/69836956/cupra-ateca-2-0-tsi-4drive-dsg-140-kw
10,148.0,0,1,0,1,5,126.0,1498.0,1,2024,Škoda,SUV / offroad,Cloth interior,36899,/car/69836698/skoda-karoq-1-5-tsi-dsg-110-kw
2,158.0,0,1,0,1,5,148.0,1598.0,1,2024,Kia,SUV / offroad,Cloth interior,31749,/car/69836696/kia-sportage-1-6-t-gdi-vision-118-kw
10,114.0,0,1,0,1,5,111.0,999.0,1,2024,Volkswagen,SUV / offroad,Cloth interior,26849,/car/69836626/volkswagen-taigo-1-0-tsi-dsg-85-kw
10,114.0,0,1,0,1,5,111.0,999.0,1,2024,Volkswagen,SUV / offroad,Cloth interior,26849,/car/69836626/volkswagen-taigo-1-0-tsi-dsg-85-kw
92500,308.0,0,0,0,0,4,153.0,2993.0,1,2015,BMW,Cargo VAN,Cloth interior,35649,/car/69836603/bmw-640d-cabrio-230-kw
63000,103.0,1,0,0,1,5,167.0,1995.0,1,2021,Ford,Cargo VAN,Cloth interior,21499,/car/69836553/ford-transit-custom-l1h1-2-0-tdci-trend-77-kw
18,90.0,1,1,0,1,5,122.0,999.0,3,2024,Renault,SUV / offroad,Cloth interior,22649,/car/69836544/renault-captur-equilibre-67-kw
10,114.0,1,1,0,1,5,111.0,999.0,3,2024,Volkswagen,SUV / offroad,Cloth interior,25499,/car/69832501/volkswagen-taigo-1-0-tsi-85-kw
40885,121.0,0,2,0,1,5,29.0,1798.0,2,2019,Toyota,Sedans / saloons,Cloth interior,23799,/car/69832355/toyota-prius-1-8-hybrid-90-kw
10,114.0,0,1,0,1,5,111.0,999.0,1,2024,Volkswagen,SUV / offroad,Cloth interior,26849,/car/69832349/volkswagen-taigo-1-0-tsi-dsg-85-kw
10,114.0,0,1,0,1,5,111.0,999.0,1,2024,Volkswagen,SUV / offroad,Cloth interior,26849,/car/69832349/volkswagen-taigo-1-0-tsi-dsg-85-kw
0,148.0,0,1,0,1,5,133.0,1498.0,1,2024,Volkswagen,SUV / offroad,Cloth interior,43949,/car/69832348/volkswagen-tiguan-1-5-tsi-dsg-110-kw
25,127.0,1,1,1,1,5,132.0,1400.0,1,2024,Suzuki,SUV / offroad,Cloth interior,27099,/car/69832339/suzuki-sx4-s-cross-s-cross-1-4-comfort-allgrip-95-kw
20,296.0,0,1,1,1,5,175.0,1984.0,3,2024,Cupra,SUV / offroad,Cloth interior,44849,/car/69832297/cupra-ateca-2-0-tsi-dsg-4drive-221-kw
10,196.0,0,1,0,1,5,124.0,1199.0,1,2024,Renault,SUV / offroad,Other interior material,52099,/car/69832254/renault-austral-146-kw
0,78.0,1,1,0,1,5,112.0,1197.0,3,2024,Hyundai,Hatchback,Cloth interior,17549,/car/69832219/hyundai-i20-1-2-58-kw
92700,114.0,1,0,0,1,5,102.0,1968.0,3,2022,Volkswagen,Station Wagon,Other interior material,22349,/car/69832113/volkswagen-golf-variant-2-0-tdi-life-85-kw
72000,101.0,1,0,0,1,5,86.0,1499.0,1,2021,Citroën,Hatchback,Cloth interior,15449,/car/69832030/citroen-c3-bluehdi-100-75-kw
94958,107.0,0,0,0,1,2,123.0,1461.0,1,2018,Renault,Cargo VAN,Cloth interior,21599,/car/69832028/renault-kangoo-dci-110-80-kw
10,114.0,0,1,0,1,5,113.0,999.0,1,2024,Volkswagen,SUV / offroad,Cloth interior,29999,/car/69832011/volkswagen-t-cross-1-0-tsi-dsg-life-85-kw
10,148.0,1,1,0,1,5,113.0,1498.0,3,2023,Škoda,SUV / offroad,Cloth interior,27749,/car/69831966/skoda-kamiq-110-kw
2,114.0,1,1,0,1,5,122.0,999.0,1,2024,Seat,SUV / offroad,Cloth interior,26999,/car/69831913/seat-ateca-1-0-tsi-reference-85-kw
63495,129.0,1,0,0,1,3,157.0,1996.0,1,2021,Ford,Cargo VAN,Other interior material,21099,/car/69831847/ford-transit-350-l3h2-trend-96-kw
10,282.0,0,0,1,1,5,184.0,2967.0,1,2024,Volkswagen,SUV / offroad,Full leather interior,80799,/car/69831816/volkswagen-touareg-3-0-tdi-4motion-210-kw
99000,282.0,0,0,1,1,5,171.0,2967.0,1,2020,Audi,Sedans / saloons,Other interior material,49099,/car/69831367/audi-a8-50-tdi-quattro-tiptronic-210-kw
15,78.0,1,1,0,1,5,105.0,1197.0,1,2024,Hyundai,Hatchback,Cloth interior,18699,/car/69831362/hyundai-i10-1-2-58-kw
10,148.0,0,0,0,1,5,100.0,1968.0,1,2024,Škoda,Station Wagon,Cloth interior,35449,/car/69831333/skoda-octavia-combi-110-kw
10,148.0,0,0,0,1,5,100.0,1968.0,1,2024,Škoda,Station Wagon,Cloth interior,35449,/car/69831333/skoda-octavia-combi-110-kw
65938,221.0,0,2,0,1,5,26.0,2488.0,2,2021,Ford,SUV / offroad,Other interior material,25249,/car/69831260/ford-kuga-2-5-st-line-cvt-165-kw
99898,148.0,0,0,1,1,5,158.0,1950.0,2,2020,Mercedes-Benz,SUV / offroad,Full leather interior,31099,/car/69831167/mercedes-benz-glb-200-d-4matic-110-kw
10,99.0,1,1,0,1,5,129.0,1199.0,1,2024,Jeep,SUV / offroad,Other interior material,23349,/car/69831064/jeep-avenger-1-2-74-kw
51000,103.0,1,0,0,1,5,167.0,1995.0,1,2021,Ford,Cargo VAN,Cloth interior,22499,/car/69830975/ford-transit-custom-l1h1-2-0-tdci-trend-77-kw
0,129.0,1,1,0,1,5,141.0,1199.0,1,2024,Dacia,SUV / offroad,Cloth interior,25749,/car/69830945/dacia-duster-tce-130-journey-96-kw
0,190.0,0,0,1,1,5,143.0,1968.0,1,2024,Volkswagen,SUV / offroad,Cloth interior,56599,/car/69830769/volkswagen-tiguan-2-0-tdi-r-line-4motion-dsg-142-kw
50,138.0,1,1,0,1,5,142.0,1482.0,1,2024,Kia,Station Wagon,Cloth interior,26399,/car/69830680/kia-ceed-sportswagon-103-kw
10,148.0,0,0,0,1,5,126.0,1968.0,1,2024,Volkswagen,MPV,Velour interior,35549,/car/69830581/volkswagen-golf-plus-dsg-110-kw
89000,82.0,1,1,0,1,5,97.0,1199.0,1,2020,Citroën,Hatchback,Cloth interior,12399,/car/69830550/citroen-c3-pure-tech-s-s-shine-61-kw
43000,109.0,1,1,0,1,5,119.0,999.0,1,2021,Volkswagen,SUV / offroad,Other interior material,19649,/car/69830183/volkswagen-t-roc-1-0-tsi-t-roc-81-kw
10,114.0,1,1,0,1,5,111.0,999.0,3,2024,Volkswagen,SUV / offroad,Cloth interior,25499,/car/69830099/volkswagen-taigo-1-0-tsi-85-kw
0,78.0,1,1,0,1,5,112.0,1197.0,3,2024,Hyundai,Hatchback,Cloth interior,17549,/car/69830080/hyundai-i20-1-2-58-kw
20,296.0,0,1,1,1,5,175.0,1984.0,1,2024,Cupra,SUV / offroad,Velour interior,46699,/car/69829977/cupra-ateca-2-0-tsi-dsg-221-kw
20,296.0,0,1,1,1,5,175.0,1984.0,1,2024,Cupra,SUV / offroad,Velour interior,46699,/car/69829977/cupra-ateca-2-0-tsi-dsg-221-kw
20,109.0,1,1,0,1,7,131.0,999.0,1,2024,Dacia,MPV,Cloth interior,25549,/car/69829951/dacia-jogger-tce-110-extreme-81-kw
1,483.0,0,2,1,1,5,195.0,2995.0,1,2024,Audi,SUV / offroad,Full leather interior,119399,/car/69829903/audi-q7-60-tfsie-quattro-360-kw
20,99.0,1,1,0,1,5,104.0,998.0,1,2024,Hyundai,Hatchback,Cloth interior,24099,/car/69829862/hyundai-i20-74-kw
0,129.0,1,1,0,1,5,141.0,1199.0,1,2024,Dacia,SUV / offroad,Cloth interior,25749,/car/69829777/dacia-duster-tce-130-journey-96-kw
0,114.0,0,1,0,1,5,116.0,999.0,1,2024,Škoda,Hatchback,Cloth interior,25399,/car/69829712/skoda-scala-monte-carlo-85-kw
10,261.0,0,1,0,1,5,151.0,1984.0,3,2024,Volkswagen,Hatchback,Cloth interior,44549,/car/69829588/volkswagen-golf-dsg-195-kw
18,90.0,1,1,0,1,5,122.0,999.0,3,2024,Renault,SUV / offroad,Cloth interior,22649,/car/69829465/renault-captur-equilibre-67-kw
133500,103.0,1,0,0,1,5,167.0,1995.0,1,2020,Ford,Cargo VAN,Cloth interior,16349,/car/69829014/ford-transit-custom-l1h1-2-0-tdci-trend-77-kw
53435,109.0,1,1,0,1,5,109.0,999.0,1,2023,Seat,SUV / offroad,Cloth interior,20299,/car/69828962/seat-arona-1-0-tsi-fr-81-kw
10,148.0,0,1,0,1,7,148.0,1498.0,1,2024,Volkswagen,MPV,Cloth interior,41999,/car/69828889/volkswagen-touran-dsg-110-kw
15,148.0,0,1,0,1,5,118.0,1498.0,1,2024,Volkswagen,SUV / offroad,Cloth interior,30799,/car/69828837/volkswagen-t-cross-1-5-tsi-dsg-110-kw
0,148.0,0,1,0,1,5,133.0,1498.0,1,2024,Volkswagen,SUV / offroad,Cloth interior,43949,/car/69828705/volkswagen-tiguan-1-5-tsi-dsg-110-kw
93000,129.0,0,0,0,1,7,108.0,1499.0,1,2020,Peugeot,SUV / offroad,Part leather interior,28049,/car/69828651/peugeot-5008-bluehdi-130-eat8-allure-96-kw
100,158.0,1,1,0,1,5,108.0,1482.0,2,2024,Hyundai,Sedans / saloons,Cloth interior,23849,/car/69827501/hyundai-i30-118-kw
79032,188.0,0,0,0,1,5,145.0,1995.0,2,2020,BMW,Sedans / saloons,Other interior material,30949,/car/69825221/bmw-220d-gran-coupe-220d-140-kw
10,148.0,0,1,0,1,5,118.0,1498.0,1,2024,Volkswagen,SUV / offroad,Cloth interior,31099,/car/69843662/volkswagen-t-cross-1-5-tsi-dsg-110-kw
10,148.0,1,1,0,1,5,113.0,1498.0,3,2024,Škoda,SUV / offroad,Cloth interior,27749,/car/69843651/skoda-kamiq-1-5-tsi-ambition-110-kw
10,129.0,1,1,0,1,5,141.0,1332.0,1,2024,Dacia,SUV / offroad,Cloth interior,25549,/car/69843593/dacia-duster-tce-130-96-kw
10,148.0,1,1,0,1,5,122.0,1498.0,1,2024,Volkswagen,Station Wagon,Cloth interior,32149,/car/69843573/volkswagen-golf-variant-1-5-tsi-110-kw
33,78.0,1,1,0,1,5,112.0,1197.0,1,2024,Hyundai,Hatchback,Cloth interior,17999,/car/69843559/hyundai-i20-1-2-58-kw
15,212.0,0,2,1,1,5,124.0,1598.0,1,2024,Hyundai,SUV / offroad,Cloth interior,40049,/car/69843515/hyundai-tucson-1-6-t-gdi-n-158-kw
0,114.0,0,1,0,1,5,113.0,999.0,1,2024,Volkswagen,SUV / offroad,Cloth interior,28499,/car/69843484/volkswagen-t-cross-1-0-tsi-dsg-85-kw
0,78.0,1,1,0,1,5,112.0,1197.0,3,2024,Hyundai,Hatchback,Cloth interior,17549,/car/69843359/hyundai-i20-1-2-58-kw
10,148.0,0,0,0,1,5,100.0,1968.0,1,2024,Škoda,Station Wagon,Cloth interior,35449,/car/69843206/skoda-octavia-combi-110-kw
10,148.0,0,0,0,1,5,100.0,1968.0,1,2024,Škoda,Station Wagon,Cloth interior,35449,/car/69843206/skoda-octavia-combi-110-kw
16338,296.0,0,1,1,1,5,179.0,1984.0,3,2023,Volkswagen,SUV / offroad,Part leather interior,40549,/car/69843113/volkswagen-t-roc-r-4motion-dsg-221-kw
20,109.0,1,1,0,1,7,131.0,999.0,1,2024,Dacia,MPV,Cloth interior,25549,/car/69843056/dacia-jogger-tce-110-extreme-81-kw
10,148.0,0,0,0,1,5,126.0,1968.0,1,2024,Volkswagen,MPV,Velour interior,35549,/car/69843051/volkswagen-golf-plus-dsg-110-kw
8000,282.0,0,0,0,1,5,173.0,2925.0,1,2023,Mercedes-Benz,Sedans / saloons,Full leather interior,93199,/car/69842992/mercedes-benz-s-350d-l-210-kw
20,295.0,0,2,1,1,5,42.0,1984.0,1,2024,Audi,SUV / offroad,Other interior material,70999,/car/69842916/audi-q5-50-tfsie-quattro-s-line-sportback-220-kw
20,295.0,0,2,1,1,5,42.0,1984.0,1,2024,Audi,SUV / offroad,Other interior material,70999,/car/69842916/audi-q5-50-tfsie-quattro-s-line-sportback-220-kw
2,114.0,1,1,0,1,5,122.0,999.0,1,2024,Seat,SUV / offroad,Cloth interior,26999,/car/69842902/seat-ateca-1-0-tsi-reference-85-kw
10,90.0,0,1,0,1,5,140.0,999.0,1,2024,Dacia,Hatchback,Cloth interior,22899,/car/69842782/dacia-sandero-stepway-tce-90-expression-67-kw
19333,109.0,1,1,0,1,5,125.0,999.0,1,2024,Dacia,Hatchback,Other interior material,21299,/car/69842781/dacia-sandero-stepway-tce-110-extreme-81-kw
15,148.0,0,1,0,1,5,118.0,1498.0,1,2024,Volkswagen,SUV / offroad,Cloth interior,30049,/car/69842402/volkswagen-t-cross-1-5-tsi-dsg-110-kw
27253,114.0,0,2,0,1,5,64.0,1490.0,1,2022,Toyota,Hatchback,Cloth interior,19349,/car/69842354/toyota-yaris-1-5-hybrid-business-85-kw
14042,138.0,1,1,0,1,5,131.0,1332.0,3,2023,Renault,SUV / offroad,Part leather interior,23049,/car/69842306/renault-captur-140-techno-103-kw
10,188.0,0,1,1,1,5,144.0,1984.0,1,2024,Škoda,SUV / offroad,Cloth interior,43249,/car/69842298/skoda-karoq-2-0-tsi-4x4-dsg-sportline-140-kw
19248,74.0,1,1,0,1,5,93.0,1199.0,3,2021,Opel,Hatchback,Cloth interior,14749,/car/69842281/opel-corsa-1-2-edition-55-kw
10,190.0,0,0,1,1,5,117.0,1968.0,1,2024,Škoda,Station Wagon,Part leather interior,47999,/car/69842250/skoda-superb-combi-2-0-tdi-4x4-dsg-142-kw
34612,99.0,0,1,0,1,5,99.0,1199.0,3,2022,Peugeot,Hatchback,Other interior material,18299,/car/69842212/peugeot-208-100-74-kw
0,114.0,1,1,0,1,5,113.0,999.0,1,2024,Škoda,Hatchback,Cloth interior,24899,/car/69842208/skoda-scala-1-0-tsi-85-kw
20,295.0,0,2,1,1,5,42.0,1984.0,1,2024,Audi,SUV / offroad,Other interior material,70999,/car/69841821/audi-q5-50-tfsie-quattro-s-line-sportback-220-kw
20,295.0,0,2,1,1,5,42.0,1984.0,1,2024,Audi,SUV / offroad,Other interior material,70999,/car/69841821/audi-q5-50-tfsie-quattro-s-line-sportback-220-kw
10,148.0,0,0,0,1,5,100.0,1968.0,1,2024,Škoda,Station Wagon,Cloth interior,37399,/car/69841652/skoda-octavia-combi-2-0-tdi-110-kw
53122,127.0,1,1,0,1,5,104.0,1373.0,2,2021,Suzuki,SUV / offroad,Other interior material,19849,/car/69841626/suzuki-vitara-1-4-95-kw
15,89.0,1,1,0,1,5,120.0,999.0,1,2024,Renault,Hatchback,Cloth interior,18649,/car/69841515/renault-clio-tce-90-66-kw
5,118.0,1,1,0,1,5,134.0,999.0,2,2022,Jeep,SUV / offroad,Cloth interior,27299,/car/69841326/jeep-renegade-1-0-limited-88-kw
10,99.0,1,1,0,1,5,129.0,1199.0,1,2024,Jeep,SUV / offroad,Cloth interior,26049,/car/69841240/jeep-avenger-1-2-summit-74-kw
10,99.0,1,1,0,1,5,129.0,1199.0,1,2024,Jeep,SUV / offroad,Cloth interior,26049,/car/69841240/jeep-avenger-1-2-summit-74-kw
10,99.0,1,1,0,1,5,129.0,1199.0,1,2024,Jeep,SUV / offroad,Cloth interior,26049,/car/69841240/jeep-avenger-1-2-summit-74-kw
14963,68.0,1,1,0,0,4,88.0,999.0,2,2023,Fiat,Hatchback,Other interior material,15649,/car/69841186/fiat-500-1-0-51-kw
44000,123.0,1,1,0,1,5,119.0,998.0,1,2021,Ford,SUV / offroad,Other interior material,17749,/car/69841076/ford-ecosport-1-0-ecoboost-titanium-92-kw
10,148.0,0,1,0,1,5,116.0,1498.0,1,2024,Škoda,SUV / offroad,Cloth interior,29999,/car/69841005/skoda-kamiq-1-5-tsi-dsg-110-kw
10,123.0,1,1,0,1,5,151.0,999.0,1,2024,Ford,MPV/VAN,Cloth interior,27599,/car/69840929/ford-tourneo-courier-titanium-92-kw
2,158.0,0,1,0,1,5,148.0,1598.0,1,2024,Kia,SUV / offroad,Cloth interior,31749,/car/69840910/kia-sportage-1-6-t-gdi-vision-118-kw
10,148.0,0,0,0,1,5,100.0,1968.0,1,2024,Škoda,Station Wagon,Cloth interior,35149,/car/69840894/skoda-octavia-combi-2-0-tdi-110-kw
20,90.0,0,1,0,1,5,140.0,999.0,1,2024,Dacia,Hatchback,Other interior material,23299,/car/69840799/dacia-sandero-stepway-extreme-67-kw
10,329.0,0,1,1,1,5,165.0,1984.0,1,2024,Audi,Sedans / saloons,Part leather interior,52249,/car/69840676/audi-s3-2-0-tfsi-quattro-sportback-245-kw
2,153.0,0,1,0,1,5,108.0,999.0,1,2024,Ford,Station Wagon,Cloth interior,30149,/car/69840554/ford-focus-1-0-st-line-114-kw
10,188.0,0,1,1,1,5,175.0,1984.0,1,2024,Cupra,SUV / offroad,Cloth interior,40049,/car/69840363/cupra-ateca-2-0-tsi-4drive-dsg-140-kw
15,90.0,1,1,0,1,5,126.0,999.0,1,2024,Dacia,Hatchback,Cloth interior,21299,/car/69840222/dacia-sandero-tce-90-expression-67-kw
15,158.0,1,1,0,1,5,139.0,1598.0,1,2024,Hyundai,SUV / offroad,Cloth interior,32949,/car/69840211/hyundai-tucson-1-6-t-gdi-118-kw
15,158.0,1,1,0,1,5,139.0,1598.0,1,2024,Hyundai,SUV / offroad,Cloth interior,32949,/car/69840211/hyundai-tucson-1-6-t-gdi-118-kw
20,148.0,0,1,0,1,5,116.0,1498.0,3,2024,Škoda,SUV / offroad,Cloth interior,30499,/car/69840206/skoda-kamiq-1-5-tsi-dsg-monte-carlo-110-kw
153464,168.0,0,0,0,1,5,158.0,2143.0,1,2019,Mercedes-Benz,Station Wagon,Part leather interior,17849,/car/69840189/mercedes-benz-cla-220-shooting-brake-d-urban-125-kw
15,148.0,0,1,0,1,5,117.0,1498.0,1,2024,Škoda,Station Wagon,Cloth interior,36099,/car/69840187/skoda-octavia-combi-1-5-tsi-dsg-110-kw
10,129.0,1,1,0,1,5,141.0,1199.0,1,2024,Dacia,SUV / offroad,Cloth interior,29299,/car/69840158/dacia-duster-tce-130-journey-96-kw
2,122.0,1,1,0,1,5,108.0,999.0,1,2024,Ford,Station Wagon,Cloth interior,26449,/car/69837418/ford-focus-1-0-titanium-91-kw
15,148.0,0,1,0,1,5,118.0,1498.0,1,2024,Volkswagen,SUV / offroad,Cloth interior,30799,/car/69837246/volkswagen-t-cross-1-5-tsi-dsg-110-kw
10,337.0,0,0,1,1,5,185.0,2967.0,1,2023,Audi,SUV / offroad,Full leather interior,73199,/car/69836367/audi-sq5-tdi-quattro-s-line-sportback-251-kw
10,99.0,1,1,0,1,5,129.0,1199.0,1,2024,Jeep,SUV / offroad,Other interior material,24699,/car/69836247/jeep-avenger-1-2-74-kw
90500,103.0,1,0,0,1,5,167.0,1995.0,1,2021,Ford,Cargo VAN,Cloth interior,20299,/car/69836233/ford-transit-custom-l1h1-2-0-tdci-trend-77-kw
20,156.0,0,1,0,1,5,141.0,1333.0,1,2024,Renault,SUV / offroad,Part leather interior,34999,/car/69836173/renault-austral-116-kw
10,129.0,0,0,0,1,5,143.0,1499.0,1,2024,DS Automobiles,SUV / offroad,Cloth interior,40499,/car/69835972/ds-automobiles-7-crossback-bluehdi-130-96-kw
10,68.0,1,1,0,1,4,116.0,999.0,1,2024,Fiat,Hatchback,Cloth interior,14599,/car/69835945/fiat-panda-51-kw
79000,94.0,1,1,0,1,5,161.0,1368.0,2,2020,Fiat,MPV,Part leather interior,16199,/car/69835883/fiat-500l-cross-70-kw
20,148.0,0,1,0,1,5,113.0,1498.0,3,2024,Cupra,Hatchback,Cloth interior,37599,/car/69835652/cupra-leon-1-5-etsi-dsg-110-kw
15,212.0,0,2,0,1,5,109.0,1598.0,1,2024,Hyundai,SUV / offroad,Cloth interior,39449,/car/69835609/hyundai-tucson-1-6-t-gdi-n-158-kw
15,212.0,0,2,0,1,5,109.0,1598.0,1,2024,Hyundai,SUV / offroad,Cloth interior,39449,/car/69835609/hyundai-tucson-1-6-t-gdi-n-158-kw
44000,123.0,1,1,0,1,5,90.0,998.0,1,2021,Ford,Hatchback,Cloth interior,13399,/car/69835586/ford-fiesta-1-0-ecoboost-titanium-92-kw
2,129.0,1,0,0,0,3,167.0,1995.0,1,2023,Ford,Cargo VAN,Cloth interior,38099,/car/69835440/ford-transit-l3h2-trend-96-kw
99000,201.0,0,0,1,1,5,142.0,1968.0,2,2020,Audi,SUV / offroad,Part leather interior,32549,/car/69835351/audi-q5-40-tdi-quattro-s-line-150-kw
0,158.0,0,1,0,1,5,148.0,1598.0,3,2024,Kia,SUV / offroad,Part leather interior,36899,/car/69835121/kia-sportage-1-6-t-gdi-gt-line-dct-118-kw
10,148.0,0,0,0,1,5,100.0,1968.0,1,2024,Škoda,Station Wagon,Cloth interior,35449,/car/69834976/skoda-octavia-combi-110-kw
10,148.0,0,0,0,1,5,100.0,1968.0,1,2024,Škoda,Station Wagon,Cloth interior,35449,/car/69834976/skoda-octavia-combi-110-kw
