Mileage,Power,Transmission,Fuel,Drive_type,Doors,Seats,CO2_emissions,Engine_capacity,Emission_class,Year,Make,Body,Interior_material,price,Link
80700,228.0,0,0,1,1,5,187.0,1995.0,1,2021,BMW,SUV / offroad,Full leather interior,56899,/car/69876029/bmw-x5-xdrive25d-170-kw
53719,72.0,1,1,0,1,5,135.0,999.0,1,2020,Dacia,Hatchback,Other interior material,11799,/car/69876019/dacia-sandero-sce-75-comfort-54-kw
51747,326.0,0,1,0,1,5,183.0,2000.0,2,2020,Maserati,Sedans / saloons,Other interior material,55399,/car/69875968/maserati-ghibli-2-0-243-kw
35000,188.0,0,0,1,1,6,229.0,1950.0,2,2020,Mercedes-Benz,MPV/VAN,Cloth interior,62149,/car/69875780/mercedes-benz-v-250d-edition-1-4matic-140-kw
10,114.0,0,1,0,1,5,111.0,999.0,3,2024,Volkswagen,SUV / offroad,Cloth interior,26699,/car/69875717/volkswagen-taigo-85-kw
24720,449.0,0,2,1,1,5,34.0,1969.0,3,2024,Volvo,Sedans / saloons,Part leather interior,47849,/car/69875608/volvo-s60-t8-ultimate-awd-recharge-335-kw
7,190.0,0,0,1,1,5,143.0,1968.0,1,2024,Volkswagen,SUV / offroad,Part leather interior,50999,/car/69875548/volkswagen-tiguan-2-0-tdi-4motion-dsg-142-kw
10,188.0,0,1,1,1,5,175.0,1984.0,3,2024,Cupra,SUV / offroad,Cloth interior,42649,/car/69875489/cupra-ateca-2-0-tsi-4drive-140-kw
10,188.0,0,1,1,1,5,175.0,1984.0,3,2024,Cupra,SUV / offroad,Cloth interior,42649,/car/69875489/cupra-ateca-2-0-tsi-4drive-140-kw
46578,197.0,0,0,1,1,5,140.0,1968.0,1,2021,Škoda,SUV / offroad,Full leather interior,38399,/car/69875333/skoda-kodiaq-2-0-tdi-sportline-4x4-dsg-147-kw
86000,257.0,0,2,0,1,5,41.0,1477.0,3,2020,Volvo,SUV / offroad,Cloth interior,27799,/car/69874681/volvo-xc40-recharge-192-kw
86637,188.0,0,0,1,1,5,162.0,2143.0,2,2020,Alfa Romeo,SUV / offroad,Part leather interior,26749,/car/69874573/alfa-romeo-stelvio-q4-super-140-kw
